TimeStamp_Tool0;Valid_Tool0;X_Tool0;Y_Tool0;Z_Tool0;QX_Tool0;QY_Tool0;QZ_Tool0;QR_Tool0;
4783340;1;-18.4131568813669;20.4342558047714;30.5200556719635;0.277441613236888;0.191929411750473;-0.609022953318489;0.717830268573885;
4783448;1;-18.458207528253;20.5131299867195;30.32782723691;0.265414296756753;0.16625345389944;-0.610477962722155;0.727483125009942;
4783557;1;-18.5122697215752;20.5721645880584;30.1559849117804;0.245969020954508;0.146525826216408;-0.611006875677781;0.738037953534069;
4783667;1;-18.690783165986;20.649533731021;29.7696478767043;0.221278087707801;0.103471021704555;-0.602085916838122;0.760146238767904;
4783778;1;-18.8570342885586;20.6680021564203;29.4567856972308;0.197180033066943;0.0661369643699753;-0.589593497287107;0.780464889960082;
4783886;1;-18.7918306163709;20.7300184279903;29.3127265292126;0.179512086032047;0.0413568350209271;-0.602066627347096;0.776904626965477;
4783996;1;-18.9468825613179;20.7001654194774;29.0040915224554;0.153945397230666;0.00628728137692842;-0.589046817090298;0.793274941013624;
4784105;1;-19.1557645677277;20.5972718404259;28.7023859604152;0.120797808977872;-0.024648569948594;-0.569172750219703;0.812922331931516;
4784214;1;-19.1294055798444;20.565980162762;28.5007092078494;0.099521078135524;-0.0572301143469444;-0.573800314053261;0.810909038432152;
4784324;1;-19.0083235594019;20.5719170075192;28.3784116099845;0.0875578336122546;-0.0827798361183628;-0.588180785385786;0.79970274990668;
4784433;1;-18.8692415332167;20.6409992923748;28.4598687345469;0.0893059396813811;-0.0742318851798688;-0.608235037945611;0.785216030768329;
4784543;1;-18.6342353663293;20.7236196704798;28.5268472348098;0.0940679401052937;-0.073856999183132;-0.636890050577227;0.761621579126896;
4784650;1;-18.372238675629;20.7912317518677;28.5934138530731;0.0953725402306912;-0.0740839951886879;-0.668214974230591;0.734101075084922;
4784775;1;-18.064753359319;20.8215861002829;28.5886374331751;0.0953303670906262;-0.0873546787326464;-0.702685698099172;0.69965283598422;
4784900;1;-17.874027480463;20.8494537487008;28.7031249991927;0.0904536402679751;-0.0705946767978025;-0.728448283461719;0.675424036359204;
4785009;1;-17.599454558725;20.9060876535305;28.9019014099545;0.0959411513763035;-0.0521750944309689;-0.753726859385047;0.648050057044409;
4785119;1;-17.4407895462125;20.8682015756658;28.9232877565041;0.10193139623342;-0.0601150716296376;-0.770834563728579;0.625947477018831;
4785213;1;-17.2880172395715;20.8257652164352;28.8112129529534;0.115806301267909;-0.102542041452075;-0.775261415044405;0.612408171618271;
4785329;1;-17.0559770464701;20.7803465850422;28.7286027154478;0.144097588642426;-0.159070422170405;-0.777296375610442;0.591390590220065;
4785447;1;-16.9031055256907;20.72261082243;28.7019896548159;0.142400198910208;-0.175162401151066;-0.788646849794557;0.571905991297912;
